Team,Win Ratio
ATL,0.5
BKN,0.5487804878048781
BOS,0.6951219512195121
CHA,0.32926829268292684
CHI,0.4878048780487805
CLE,0.6219512195121951
DAL,0.4634146341463415
DEN,0.6463414634146342
DET,0.2073170731707317
GSW,0.5365853658536586
HOU,0.2682926829268293
IND,0.4268292682926829
LAC,0.5365853658536586
LAL,0.524390243902439
MEM,0.6219512195121951
MIA,0.5365853658536586
MIL,0.7073170731707317
MIN,0.5121951219512195
NOP,0.5121951219512195
NYK,0.573170731707317
OKC,0.4878048780487805
ORL,0.4146341463414634
PHI,0.6585365853658537
PHX,0.5487804878048781
POR,0.4024390243902439
SAC,0.5853658536585366
SAS,0.2682926829268293
TOR,0.5
UTA,0.45121951219512196
WAS,0.4268292682926829
